Year,Month,TC number,Time step,Basin ID,Latitude,Longitude,Minimum pressure,Maximum wind speed,Radius to maximum winds,Category,Landfall,Distance to land
0.0,10.0,0.0,0.0,1.0,8.9,314.8,993.946698835,20.3719978333,46.2999992371,0.0,0.0,851.946655827
0.0,10.0,0.0,1.0,1.0,9.0,314.3,992.8,21.2,45.9059567147,0.0,0.0,815.967428826
0.0,10.0,0.0,2.0,1.0,9.1,313.6,992.1,21.7,45.5119141924,0.0,0.0,766.103505988
0.0,10.0,0.0,3.0,1.0,9.2,312.7,993.0,21.1,45.11787167,0.0,0.0,705.75965065
0.0,10.0,0.0,4.0,1.0,9.3,311.7,993.1,20.9,44.7238291477,0.0,0.0,647.548284617
0.0,10.0,0.0,5.0,1.0,9.5,310.7,992.7,21.2,44.3297866253,0.0,0.0,605.239404061
0.0,10.0,0.0,6.0,1.0,9.7,309.6,993.3,20.8,43.935744103,0.0,0.0,555.779467144
0.0,10.0,0.0,7.0,1.0,9.9,308.5,993.9,20.3,43.5417015806,0.0,0.0,526.198017838
0.0,10.0,0.0,8.0,1.0,10.1,307.4,994.0,20.2,43.1476590583,0.0,0.0,499.451981974
0.0,10.0,0.0,9.0,1.0,10.3,306.3,994.1,20.1,42.7536165359,0.0,0.0,491.536714015
0.0,10.0,0.0,10.0,1.0,10.6,305.1,993.7,20.4,42.3595740136,0.0,0.0,509.543656641
0.0,10.0,0.0,11.0,1.0,10.9,304.0,991.6,22.0,41.9655314912,0.0,0.0,454.312976269
0.0,10.0,0.0,12.0,1.0,11.3,302.8,990.9,22.5,41.5714889689,0.0,0.0,320.158495794
0.0,10.0,0.0,13.0,1.0,11.7,301.6,990.7,22.6,41.1774464465,0.0,0.0,193.866748711
0.0,10.0,0.0,14.0,1.0,12.1,300.5,990.4,22.8,40.7834039242,0.0,0.0,105.123502621
0.0,10.0,0.0,15.0,1.0,12.5,299.4,990.3,22.9,40.3893614018,0.0,0.0,88.4812523509
0.0,10.0,0.0,16.0,1.0,12.8,298.2,989.6,23.4,39.9953188795,0.0,0.0,48.9254235552
0.0,10.0,0.0,17.0,1.0,13.1,296.9,991.8,21.7,39.6012763571,0.0,0.0,183.435704893
0.0,10.0,0.0,18.0,1.0,13.4,295.6,991.6,21.8,39.2072338348,0.0,0.0,167.973311288
0.0,10.0,0.0,19.0,1.0,13.7,294.4,991.8,21.6,38.8131913124,0.0,0.0,215.604228203
0.0,10.0,0.0,20.0,1.0,14.0,293.3,987.2,24.9,38.4191487901,0.0,0.0,241.175840757
0.0,10.0,0.0,21.0,1.0,14.3,292.2,988.0,24.3,38.0251062677,0.0,0.0,229.650959313
0.0,10.0,0.0,22.0,1.0,14.6,291.2,988.7,23.7,37.6310637454,0.0,0.0,247.830830014
0.0,10.0,0.0,23.0,1.0,14.9,290.3,986.4,25.4,37.237021223,0.0,0.0,255.436615945
0.0,10.0,0.0,24.0,1.0,15.2,289.4,987.3,24.8,36.8429787007,0.0,0.0,279.589270524
0.0,10.0,0.0,25.0,1.0,15.5,288.6,981.2,28.9,36.4489361783,0.0,0.0,227.019611622
0.0,10.0,0.0,26.0,1.0,15.8,287.9,978.0,30.9,36.054893656,1.0,0.0,202.752918355
0.0,10.0,0.0,27.0,1.0,16.0,287.2,977.5,31.2,35.6608511336,1.0,0.0,220.319212778
0.0,10.0,0.0,28.0,1.0,16.2,286.5,974.1,33.4,35.2668086113,1.0,0.0,205.27286262
0.0,10.0,0.0,29.0,1.0,16.4,285.7,968.8,36.5,34.8727660889,1.0,0.0,185.918114682
0.0,10.0,0.0,30.0,1.0,16.6,285.1,963.6,39.4,34.4787235666,2.0,0.0,193.500346806
0.0,10.0,0.0,31.0,1.0,16.8,284.6,960.2,41.3,34.0846810442,2.0,0.0,150.669026984
0.0,10.0,0.0,32.0,1.0,17.0,284.0,957.2,43.0,33.6906385219,2.0,0.0,102.130194392
0.0,10.0,0.0,33.0,1.0,17.1,283.4,954.1,44.6,33.2965959995,3.0,0.0,83.6470919923
