track_id, year, month, day, hour, i, j, lon, lat, slp, zs, wind10
0, 1980, 1, 6, 6, 482, 417, 120.500000, -14.250000, 9.987638e+04, -1.071180e+01, 1.464815e+01
0, 1980, 1, 6, 12, 476, 419, 119.000000, -14.750000, 9.981100e+04, -1.610522e+01, 1.398848e+01
0, 1980, 1, 6, 18, 476, 420, 119.000000, -15.000000, 9.953694e+04, -4.020874e+01, 1.369575e+01
0, 1980, 1, 7, 0, 477, 420, 119.250000, -15.000000, 9.941456e+04, -5.043206e+01, 1.797812e+01
0, 1980, 1, 7, 6, 478, 422, 119.500000, -15.500000, 9.917319e+04, -7.229797e+01, 1.722728e+01
0, 1980, 1, 7, 12, 475, 424, 118.750000, -16.000000, 9.911612e+04, -7.817557e+01, 1.637649e+01
0, 1980, 1, 7, 18, 474, 426, 118.500000, -16.500000, 9.888225e+04, -9.791051e+01, 1.840417e+01
0, 1980, 1, 8, 0, 473, 427, 118.250000, -16.750000, 9.813756e+04, -1.645126e+02, 2.211769e+01
0, 1980, 1, 8, 6, 473, 430, 118.250000, -17.500000, 9.780431e+04, -1.938985e+02, 2.554702e+01
0, 1980, 1, 8, 12, 473, 430, 118.250000, -17.500000, 9.821738e+04, -1.573104e+02, 2.342027e+01
0, 1980, 1, 8, 18, 475, 431, 118.750000, -17.750000, 9.810538e+04, -1.670528e+02, 2.355895e+01
0, 1980, 1, 9, 0, 477, 433, 119.250000, -18.250000, 9.757319e+04, -2.135222e+02, 2.536765e+01
0, 1980, 1, 9, 6, 477, 436, 119.250000, -19.000000, 9.713475e+04, -2.492251e+02, 2.473392e+01
0, 1980, 1, 9, 12, 479, 437, 119.750000, -19.250000, 9.713338e+04, -2.525460e+02, 2.639518e+01
0, 1980, 1, 9, 18, 480, 438, 120.000000, -19.500000, 9.696419e+04, -2.690853e+02, 2.594052e+01
0, 1980, 1, 10, 0, 480, 440, 120.000000, -20.000000, 9.722312e+04, -2.483882e+02, 2.525727e+01
0, 1980, 1, 10, 6, 478, 441, 119.500000, -20.250000, 9.732125e+04, -2.369373e+02, 2.478705e+01
0, 1980, 1, 10, 12, 477, 443, 119.250000, -20.750000, 9.742400e+04, -2.268684e+02, 2.252732e+01
0, 1980, 1, 10, 18, 473, 445, 118.250000, -21.250000, 9.742656e+04, -2.230690e+02, 2.084525e+01
